Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
5538086378,set ren bikini đi biển sexy hàng đẹp có Bán rời theo phân loại,"103,5k",1k+,CƯỜNG DUNG - CHUYÊN SỈ LẺ 2,22%,₫22.770,https://shopee.vn/product/131784743/5538086378,https://s.shopee.vn/1LcAvKPYRq
26380471027,2 Túi Nước Xả (1 túi 1.100ml) Quần Áo Hygiene Expert Care Hương Hoa 2Túi  2200ml,"81,0k",1k+,MAIKHANHVINA2,24%,₫19.437,https://shopee.vn/product/1469685165/26380471027,https://s.shopee.vn/1Vvb7dOv6t
26500449624,Set bộ dài - Set bộ đồ nữ mặc đi chơi chất đũi vân mây áo cổ dây yếm xoè chạy mocking nút hở lưng quần dài suông dài,"187,0k",2k+,Shop ngô Fashion,12%,₫22.442,https://shopee.vn/product/505944179/26500449624,https://s.shopee.vn/901c3PwMtM
25716253841,[ Tặng Kính Râm] Áo Chống Nắng Toàn Thân Dành Cho Nữ Vải Cotton Mềm Mát Co Giãn Chống Tia UV,"276,7k",30k+,August.2002,15%,₫41.500,https://shopee.vn/product/58305892/25716253841,https://s.shopee.vn/9AL2FivjYP
15849485086,Bộ quần áo nam mùa hè - bộ nam ngắn tay cổ bẻ vân xốp BH30 - UMA STORE,"176,4k",1k+,PAMEN VIỆT NAM,19%,₫33.516,https://shopee.vn/product/168486844/15849485086,https://s.shopee.vn/8fOlenxdZK
48207343621,COMBO 10 BỊCH Giấy Treo Tường SIPIAO 1000 Tờ – Giấy Ăn Rút Treo Tường Mềm Dai Không Bụi Tặng Móc Treo Tiện Lợi,"44,3k",6k+,Kho Giấy Sipiao Giá Tốt,24%,₫10.632,https://shopee.vn/product/432206303/48207343621,https://s.shopee.vn/8piBr6x0EN
23861120403,Đồ bộ đùi nữ mặc nhà rẻ đẹp mùa hè set đồ nữ bộ quần áo cộc nữ 3 SIZE 45-75KG bigsize chất thun cotton in gấu cụt màu,"66,3k",5k+,Xưởng may thời trang_90,9%,₫5.967,https://shopee.vn/product/997583528/23861120403,https://s.shopee.vn/8KlvGByuFI
26427964406,[ 2 LỚP ] Áo chống nắng toàn thân nữ chất umi hàn uvt 50++ from dáng đẹp chất liệu thoáng mát thấm hút mồ hôi LADO STORE,"169,0k",4k+,Lado88 Store,17%,₫28.730,https://shopee.vn/product/1419799295/26427964406,https://s.shopee.vn/8V5LSUyGuL
49357119550,"Áo Ba Lỗ Nam GUZADO Chất Coolmax Siêu Mát, Nhẹ Thoáng Khí, Vận Động Thể Thao Linh Hoạt GTT01","102,2k",7k+,Guzado Official,12%,₫12.264,https://shopee.vn/product/201774917/49357119550,https://s.shopee.vn/8094ra0AvG
40614913791,"Váy Hè, Váy Kẻ Xanh Mint Babydoll Hình Con Voi cho Bé Gái","128,0k",754,Shopmesockids,15%,₫19.200,https://shopee.vn/product/6349087/40614913791,https://s.shopee.vn/8ASV3szXaJ
29785993166,"Đồ bộ nữ trắng cổ V tay bồng phối ren hoa mix quần short ngắn mặc đi biển, set đồ nữ phong cách nữ tính dễ thương","259,0k",1k+,MoonFashion,18%,₫46.620,https://shopee.vn/product/1492977224/29785993166,https://s.shopee.vn/AKWzdrrIBk
